"","Name and Principal Position","Year","Salary","Bonus","Stock Awards","Option Awards"
"3","",NA,"",NA,NA,NA
"4","Carol Bartz","2010","1,000,000","0","6,626,995","2,114,474"
"5","Chief Executive Officer","2009","969,872","0","12,974,722","29,169,334"
