"","Name and Principal Position","Year","Salary","Bonus","Stock Awards","Option Awards"
"3","Jerry Yang(4)","2008","1","0","0","0"
"4","Former Chief Executive Officer","2007  ","1","0","0","0"
"5","",NA,NA,NA,NA,NA
