"","Name and Principal Position","Year","Salary","Bonus","Stock Awards","Option Awards"
"3","Ross B. Levinsohn(7)",2011,"700,000","0","7,728,320","3,135,514"
"4","Interim Chief Executive Officer and President",2010,"90,152","500,000","0","0"
"5","",NA,NA,NA,NA,NA
