,Name and Principal Position,Year,Salary,Bonus,Stock Awards,Option Awards
3,Marissa A. Mayer(7),2013,"1,000,000","2,250","8,312,316","13,847,283"
4,Chief Executive Officer,2012,"454,862",0,"35,000,002",0
5,Ken Goldman(9),2013,"600,000",0,"2,597,612","2,290,527"
